id,family
1467,BB
1468,D4A
1469,Q2AB
1470,D3Aa
1471,BPM
1472,D3Ab
1473,DSEXT
1474,S2A
1474,SQUAD
1475,HSTR
1476,VSTR
1477,DSEXT
1478,D2A
1479,Q1AB
1480,D1Aa
1481,BPM
1482,D1Ab
1483,DSEXT
1484,S1A
1485,HSTR
1486,VSTR
1487,DSEXT
1488,D1A
1489,Q1AB
1490,D2A
1491,DSEXT
1492,S2A
1492,SQUAD
1493,HSTR
1494,VSTR
1495,DSEXT
1496,D3A
1497,Q2AB
1498,D4Aa
1499,BPM
1500,D4Ab
1501,BB
1502,D6B
1503,DSEXT
1504,S2B
1505,HSTR
1506,VSTR
1507,DSEXT
1508,D5B
1509,Q3B
1510,D4Ba
1511,BPM
1512,D4Bb
1513,Q2B
1514,D3B
1515,DSEXT
1516,S1B
1516,SQUAD
1517,HSTR
1518,VSTR
1519,DSEXT
1520,D2B
1521,Q1B
1522,KD1
1523,BPM
1524,DBPM
1525,DRIFT
1526,DRIFT
1527,HTRIM
1528,VTRIM
1529,DRIFT
1530,MPW15
1531,DRIFT
1532,HTRIM
1533,VTRIM
1534,DRIFT
1535,DRIFT
1536,DBPM
1537,BPM
1538,KD1
1539,Q1B
1540,D2B
1541,DSEXT
1542,S1B
1542,SQUAD
1543,HSTR
1544,VSTR
1545,DSEXT
1546,D3B
1547,Q2B
1548,D4B
1549,Q3B
1550,D5B
1551,DSEXT
1552,S2B
1553,HSTR
1554,VSTR
1555,DSEXT
1556,D6Ba
1557,BPM
1558,D6Bb
1559,BB
1560,D4A
1561,Q2AB
1562,D3Aa
1563,BPM
1564,D3Ab
1565,DSEXT
1566,S2A
1566,SQUAD
1567,HSTR
1568,VSTR
1569,DSEXT
1570,D2A
1571,Q1AB
1572,D1Aa
1573,BPM
1574,D1Ab
1575,DSEXT
1576,S1A
1577,HSTR
1578,VSTR
1579,DSEXT
1580,D1A
1581,Q1AB
1582,D2A
1583,DSEXT
1584,S2A
1584,SQUAD
1585,HSTR
1586,VSTR
1587,DSEXT
1588,D3A
1589,Q2AB
1590,D4Aa
1591,BPM
1592,D4Ab
1593,BB
1594,D6B
1595,DSEXT
1596,S2B
1597,HSTR
1598,VSTR
1599,DSEXT
1600,D5B
1601,Q3B
1602,D4Ba
1603,BPM
1604,D4Bb
1605,Q2B
1606,D3B
1607,DSEXT
1608,S1B
1608,SQUAD
1609,HSTR
1610,VSTR
1611,DSEXT
1612,D2B
1613,Q1B
1614,KD1
1615,BPM
1616,DBPM
1617,DRIFT
1618,DRIFT
1619,HTRIM
1620,VTRIM
1621,DRIFT
1622,U27
1623,source
1624,U27
1625,DRIFT
1626,HTRIM
1627,VTRIM
1628,DRIFT
1629,DRIFT
1630,DBPM
1631,BPM
1632,KD1
1633,Q1B
1634,D2B
1635,DSEXT
1636,S1C
1636,SQUAD
1637,HSTR
1638,VSTR
1639,DSEXT
1640,D3B
1641,Q2B
1642,D4B
1643,Q3B
1644,D5B
1645,DSEXT
1646,S2C
1647,HSTR
1648,VSTR
1649,DSEXT
1650,D6Ba
1651,BPM
1652,D6Bb
1653,BB
1654,D4A
1655,Q2AB
1656,D3Aa
1657,BPM
1658,D3Ab
1659,DSEXT
1660,S2A
1660,SQUAD
1661,HSTR
1662,VSTR
1663,DSEXT
1664,D2A
1665,Q1AB
1666,D1Aa
1667,BPM
1668,D1Ab
1669,DSEXT
1670,S1A
1671,HSTR
1672,VSTR
1673,DSEXT
1674,D1A
1675,Q1AD
1676,D2A
1677,DSEXT
1678,S2A
1678,SQUAD
1679,HSTR
1680,VSTR
1681,DSEXT
1682,D3A
1683,Q2AD
1684,D4Aa
1685,BPM
1686,D4Ab
1687,source
1688,BB
1689,D6B
1690,DSEXT
1691,S2D
1692,HSTR
1693,VSTR
1694,DSEXT
1695,D5B
1696,Q3D
1697,D4Ba
1698,BPM
1699,D4Bb
1700,Q2D
1701,D3B
1702,DSEXT
1703,S1D
1703,SQUAD
1704,HSTR
1705,VSTR
1706,DSEXT
1707,D2B
1708,Q1D
1709,KD1
1710,BPM
1711,D1D2
1712,RF
1713,AP
1714,D1D2
1715,BPM
1716,KD1
1717,Q1D
1718,D2B
1719,DSEXT
1720,S1D
1720,SQUAD
1721,HSTR
1722,VSTR
1723,DSEXT
1724,D3B
1725,Q2D
1726,D4B
1727,Q3D
1728,D5B
1729,DSEXT
1730,S2D
1731,HSTR
1732,VSTR
1733,DSEXT
1734,D6Ba
1735,BPM
1736,D6Bb
1737,BB
1738,D4A
1739,Q2AD
1740,D3Aa
1741,BPM
1742,D3Ab
1743,DSEXT
1744,S2A
1744,SQUAD
1745,HSTR
1746,VSTR
1747,DSEXT
1748,D2A
1749,Q1AD
1750,D1Aa
1751,BPM
1752,D1Ab
1753,DSEXT
1754,S1A
1755,HSTR
1756,VSTR
1757,DSEXT
1758,D1A
1759,Q1AB
1760,D2A
1761,DSEXT
1762,S2A
