id,name,type,length
845,845,QUAD,0.307000
846,846,DRIFT,0.173000
847,847,BPM,0.000000
848,848,DRIFT,0.285350
849,849,QUAD,0.606300
850,850,DRIFT,0.231850
851,851,DRIFT,0.005000
852,852,SEXT,0.290000
853,853,HSTR,0.000000
854,854,VSTR,0.000000
855,855,DRIFT,0.005000
856,856,DRIFT,0.146800
857,857,QUAD,0.406400
858,858,DRIFT,0.288340
859,859,QUAD,0.300000
860,860,DRIFT,0.152700
861,861,DRIFT,0.050000
862,862,HCHICA,0.000000
863,863,DRIFT,0.050000
864,864,DRIFT,0.310760
865,865,BPM,0.000000
866,866,DRIFT,0.150000
867,867,HTRIM,0.000000
868,868,VTRIM,0.000000
869,869,DRIFT,0.150000
870,870,DRIFT,1.202995
871,871,source,0.000000
872,872,DRIFT,1.202995
873,873,DRIFT,0.150000
874,874,HTRIM,0.000000
875,875,VTRIM,0.000000
876,876,DRIFT,0.150000
877,877,BPM,0.000000
878,878,DRIFT,0.260100
879,879,HSTR,0.000000
880,880,VSTR,0.000000
881,881,DRIFT,0.564080
882,882,DRIFT,0.050000
883,883,HCHICA,0.000000
884,884,DRIFT,0.050000
885,885,DRIFT,0.386070
886,886,QUAD,0.600000
887,887,DRIFT,0.200000
888,888,QUAD,0.400000
889,889,DRIFT,0.092530
890,890,BPM,0.000000
891,891,DRIFT,0.080890
892,892,HSTR,0.000000
893,893,VSTR,0.000000
894,894,DRIFT,0.150000
895,895,HTRIM,0.000000
896,896,VTRIM,0.000000
897,897,DRIFT,0.150000
898,898,DRIFT,1.426070
899,899,source,0.000000
900,900,DRIFT,1.426070
901,901,DRIFT,0.150000
902,902,HTRIM,0.000000
903,903,VTRIM,0.000000
904,904,DRIFT,0.150000
905,905,BPM,0.000000
906,906,DRIFT,0.308440
907,907,DRIFT,0.050000
908,908,HCHICA,0.000000
909,909,DRIFT,0.050000
910,910,DRIFT,0.137760
911,911,QUAD,0.300000
912,912,DRIFT,0.196800
913,913,QUAD,0.406400
914,914,DRIFT,0.146800
915,915,DRIFT,0.005000
916,916,SEXT,0.290000
917,917,HSTR,0.000000
918,918,VSTR,0.000000
919,919,DRIFT,0.005000
920,920,DRIFT,0.231850
921,921,QUAD,0.606300
922,922,DRIFT,0.458350
923,923,QUAD,0.307000
924,924,DRIFT,0.196500
925,925,DRIFT,0.005000
926,926,SEXT,0.290000
927,927,HSTR,0.000000
928,928,VSTR,0.000000
929,929,DRIFT,0.005000
930,930,DRIFT,0.185000
931,931,BPM,0.000000
932,932,DRIFT,0.484000
933,933,BEND,0.933000
934,934,DRIFT,0.585800
935,935,QUAD,0.406400
936,936,DRIFT,0.158300
937,937,BPM,0.000000
938,938,DRIFT,0.263500
939,939,DRIFT,0.005000
940,940,SEXT,0.190000
941,941,HSTR,0.000000
942,942,VSTR,0.000000
943,943,DRIFT,0.005000
944,944,DRIFT,0.195200
945,945,QUAD,0.407600
946,946,DRIFT,0.118700
947,947,BPM,0.000000
948,948,DRIFT,0.116000
949,949,DRIFT,0.005000
950,950,SEXT,0.290000
951,951,HSTR,0.000000
952,952,VSTR,0.000000
953,953,DRIFT,0.005000
954,954,DRIFT,0.234700
955,955,QUAD,0.407600
956,956,DRIFT,0.195200
957,957,DRIFT,0.005000
958,958,SEXT,0.190000
959,959,HSTR,0.000000
